# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
133 6.36 1.0098 35.0481 1.00898 70.8726 0.974777 70.785
134 6.408 1.01593 35.888 1.00212 72.5313 0.972131 72.3957
135 6.456 1.02089 36.7448 1.00684 74.2228 0.974415 74.0343
136 6.504 1.02823 37.6206 1.00688 75.9397 0.976632 75.7013
137 6.552 1.04489 38.5237 1.00624 77.6809 0.981905 77.402
138 6.6 1.03776 39.4339 1.00225 79.4407 0.983881 79.1312
139 6.648 1.03963 40.359 1.00366 81.2287 0.988655 80.8942
140 6.696 1.04978 41.3067 0.997534 83.0315 0.988307 82.6821
141 6.744 1.04203 42.261 0.997284 84.8598 0.996239 84.5103
142 6.792 1.04568 43.2323 0.997852 86.7153 0.999756 86.3712
143 6.84 1.04641 44.218 0.999586 88.6004 1.00327 88.2651
144 6.888 1.04695 45.2181 1.00127 90.5153 1.00509 90.1891
145 6.936 1.04952 46.2347 1.00002 92.4545 1.00623 92.1423
146 6.984 1.03897 47.2551 1.00194 94.4244 1.01319 94.1362
147 7.032 1.04675 48.2973 1.00088 96.4194 1.01376 96.1589
148 7.08 1.036 49.3429 1.00134 98.4426 1.017 98.2158
149 7.128 1.03076 50.3974 1.00184 100.494 1.0198 100.306
150 7.176 1.0336 51.469 1.0006 102.571 1.01736 102.42
151 7.224 1.03071 52.552 1.00096 104.677 1.02006 104.568
152 7.272 1.02401 53.6424 1.00099 106.811 1.01813 106.74
153 7.32 1.02195 54.7449 1.00063 108.972 1.02292 108.952
154 7.368 1.02476 55.865 1.00204 111.165 1.02269 111.192
155 7.416 1.01547 56.9895 1.00367 113.39 1.02198 113.46
156 7.464 1.00637 58.1184 1.0066 115.65 1.02013 115.753
157 7.512 1.00806 59.2637 1.00599 117.938 1.02243 118.081
158 7.56 1.00489 60.4201 1.00593 120.256 1.02055 120.434
159 7.608 0.99796 61.5832 1.00472 122.6 1.01994 122.816
160 7.656 0.993793 62.756 1.00621 124.977 1.01637 125.22
161 7.704 0.991843 63.9413 1.00711 127.387 1.01664 127.654
162 7.752 0.991704 65.1412 1.00749 129.827 1.01431 130.114
163 7.8 0.986073 66.3491 1.00394 132.289 1.00916 132.591
164 7.848 0.984201 67.5697 1.00722 134.79 1.00939 135.099
165 7.896 0.988214 68.8102 1.00604 137.318 1.00724 137.633
166 7.944 0.986074 70.0631 1.00804 139.882 1.00258 140.186
167 7.992 0.99331 71.3406 1.01112 142.485 1.00322 142.771
168 8.04 0.990008 72.6291 1.00745 145.11 1.00254 145.386
169 8.088 0.984451 73.9257 1.00737 147.767 1.00067 148.027
